Ticker,Name,EPS:2015:Q1,EPS:2015:Q2,EPS:2015:Q3,EPS:2015:Q4,EPS:2016:Q1,EPS:2016:Q2,EPS:2016:Q3,EPS:2016:Q4,EPS:2017:Q1,EPS:2017:Q2,EPS:2017:Q3,EPS:2017:Q4,EPS:2018:Q1,EPS:2018:Q2,EPS:2018:Q3,EPS:2018:Q4,P/E:2015:Q1,P/E:2015:Q2,P/E:2015:Q3,P/E:2015:Q4,P/E:2016:Q1,P/E:2016:Q2,P/E:2016:Q3,P/E:2016:Q4,P/E:2017:Q1,P/E:2017:Q2,P/E:2017:Q3,P/E:2017:Q4,P/E:2018:Q1,P/E:2018:Q2,P/E:2018:Q3,P/E:2018:Q4,ROIC:2015:Q1,ROIC:2015:Q2,ROIC:2015:Q3,ROIC:2015:Q4,ROIC:2016:Q1,ROIC:2016:Q2,ROIC:2016:Q3,ROIC:2016:Q4,ROIC:2017:Q1,ROIC:2017:Q2,ROIC:2017:Q3,ROIC:2017:Q4,ROIC:2018:Q1,ROIC:2018:Q2,ROIC:2018:Q3,ROIC:2018:Q4,ROE:2015:Q1,ROE:2015:Q2,ROE:2015:Q3,ROE:2015:Q4,ROE:2016:Q1,ROE:2016:Q2,ROE:2016:Q3,ROE:2016:Q4,ROE:2017:Q1,ROE:2017:Q2,ROE:2017:Q3,ROE:2017:Q4,ROE:2018:Q1,ROE:2018:Q2,ROE:2018:Q3,ROE:2018:Q4,FCF:2015,FCF:2016,FCF:2017,FCF:2018,GICS Sector,GICS Ind,GICS Ind Grp,Total Liab To Total Liab & Equity:2015,Total Liab To Total Liab & Equity:2016,Total Liab To Total Liab & Equity:2017,Total Liab To Total Liab & Equity:2018,Market Cap:2015,Market Cap:2016,Market Cap:2017,Market Cap:2018
ABQQ US Equity,AB INTERNATIONAL GROUP CORP, ,0,0, ,0,0,0,0,0,0,0,0.0022,0,0,-0.01,-0.0055, , , , , , , , , , , , , , , , , , , , , , , , ,-55.3639,-59.6616,-26.4645,-71.0099,-65.9801,-84.8287,-79.8026,-100.6823, , , , , , , ,67.4391,81.2494,70.777,72.4215,31.4447,34.6733,-1.8237,-44.2717,-125.3173,-35384,-75729,166522,-866886,45,451030,4510, ,25.4447,23.9116,12.2177, , , ,29465000
ABVN US Equity,ABV CONSULTING INC,0,0,0,-0.0014,0,0,0,-0.0049,0,0,0,0,0,0,0,-0.0003, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,67.27,58.6507,53.341,49.5943,47.5918, , , , ,-57111,-67332,-159181,-75774,20,202020,2020,469.8109,1441.8704,62094.9844,1517.5973, ,5533000,9682750, 
ACIU US Equity,AC IMMUNE SA, , ,0.47, , , ,-0.18,-0.09,-0.17,-0.22,-0.15,0.0727,-0.2,-0.19,-0.21,-0.2168, , , , , , , , , , , , , , , , , , , , , , , , , , ,-27.2881,-18.4074,-22.4606,-26.8125,-21.0067,-33.7402, , , , , , ,-7.1228,53.9972,56.3937,39.3529,31.7606,8.2208,-23.9198,-25.324,-21.0794,-34.6062,43840000,-6545000,-23896000,-45936000,35,352010,3520,11.1196,8.7892,11.4943,9.6324, ,749593856,714764928,627482496
ACIA US Equity,ACACIA COMMUNICATIONS INC, , , ,0.7339,0.46,0.51,0.97,1.72,0.93,0.12,0.47,-0.52,-0.23,-0.08,0.2,0.23, , , , , , ,49.3923,18.891,15.8416,12.2705,15.914,21.4882,57.5656,100.0819,208.8782,156.8964, , , ,67.7994, , , ,51.787,54.0382,38.9043,30.9448,8.6656,-1.002,-2.6716,-4.8061,-0.036, , , , , , , ,50.5762, ,42.9986,27.5384,13.9747,-1.2864,-2.8521,-4.7881,0.9785,10340000,83960000,49411000,68425000,45,452010,4520,39.7326,15.89,17.865,16.471, ,2346376448,1434925440,1558912000
AKAO US Equity,ACHAOGEN INC,-0.34,-0.05,-0.48,-0.61,-0.66,-0.87,-0.41,-1.04,-0.93,-0.68,-0.7077,-0.8555,-1.06,-1.11,-0.92,-1.01, , , , , , , , , , , , , , , , ,-31.6031,-29.8639,-30.2682,-43.7502,-60.986,-79.4728,-80.2606,-60.0986,-90.7073,-59.7896,-89.0052,-88.2279,-121.992,-120.0708,-161.728,-191.0766,-32.9741,-29.7283,-33.9673,-50.2784,-72.0619,-103.2915,-124.7155,50.0569,59.9285,35.1829,14.2893,11.7882,-145.6089,-137.7144,-196.9697, ,-21694000,-47804000,-102361000,-174036000,35,352010,3520,35.4516,34.8879,33.0383,107.6401,105588560,464007424,452236512,59293660
ACRS US Equity,ACLARIS THERAPEUTICS INC, , ,-5.11,-0.28,-0.65,-0.62,-0.5,-0.49,-0.48,-0.56,-0.63,-0.74,-0.98,-1.01,-1.06,-0.99, , , , , , , , , , , , , , , , , , , , , ,-82.0706,-68.5746,-36.9421,-39.5009,-38.9186,-35.6921,-35.3987,-48.7111,-61.0776,-61.0829,-57.3472, , , , , , , ,44.4915,51.5091,44.8191,45.2168,67.0174,-47.784,-59.9234,-59.9718,-60.2826,-20876000,-34835000,-55898000,-102167000,35,352020,3520,1.6529,3.7453,7.4934,21.9338,543043136,707246144,760921408,304547264
GOLF US Equity,ACUSHNET HOLDINGS CORP, , , , , , ,-0.0422,-0.018,0.51,0.44,0.13,0.245,0.56,0.53,0.09,0.1527, , , , , , , , , ,20.9274,15.9572,15.9044,16.8749,16.8299,19.3241,15.8427, , , , , , , , , , ,8.8129,10.0665,8.9992,10.1439,10.517,9.5604, , , , , , , ,44.2264,42.607,40.2584,89.4499,70.186,12.5773,12.9936,12.5851,11.6389,68629000,85094000,-45882000,130932000,25,252020,2520,81.5493,55.7173,50.7486,45.2014, ,1460384768,1570024064,1575194496
ADAD US Equity,ADAIAH DISTRIBUTION INC,0,0, , ,0,0, , ,-0.0023,-0.0007, , ,0.0034,0.0006, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43.8733,32.4008,19.9172,26.5545,36.8493, , , , , , , , , , , , , , , , , , , 
ADMS US Equity,ADAMAS PHARMACEUTICALS INC,-0.69,-0.78,-0.81,-0.58,-0.65,-0.78,-0.66,-0.68,-0.72,-0.93,-1.04,-1.27,-1.35,-1.26,-1.22,-1.055, , , , , , , , , , , , , , , , ,4.2947,-18.9656,-24.5114,-39.5169,-35.2645,-38.9935,-41.9594,-48.7862,-43.7963,-45.2364,-56.1468,-74.3933,-51.9811,-57.9665,-68.5305,-107.5648,3.3311,-19.8625,-25.4237,-39.3541,-35.0747,-38.7575,-41.6243,43.6972, ,39.3458,38.117,21.3167,-74.9499,-98.7414,-131.2931, ,-48609000,-49692000,0,0,35,352010,3520,9.7528,7.2224, , ,524074688,372030592,771976896,234289424
ADMV US Equity,ADAMAS VENTURES INC,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43.4105,39.6294,27.8466,-5.2267,-8.3313, , , , , , , , , , , , , , , , , , , 
ADAP US Equity,ADAPTIMMUNE THERAPEUTICS-ADR, , , , ,-0.04,-0.05,-0.04,-0.04,-0.05,-0.04,0,-0.05,-0.04,-0.08,0.01,-0.06, , , , , , , , , , , , , , , , , , , , , , , , ,-36.8585,-36.9081,-31.1692,-41.8671,-41.1849,-46.5013,-32.1592,-38.0353, , , , , , , ,41.2927,38.8396,39.5792,36.081,39.0103,-34.7528,-47.1691,-34.4237,-42.6142,-28788652,-59674000,-78958000,-108298000,35,352010,3520,13.6588,29.1551,27.8015,10.7868, ,1720339072,3754957056,3607862016
IOTS US Equity,ADESTO TECHNOLOGIES CORP, , ,-1.9,-0.32,-0.1,-0.29,-0.27,-0.11,-0.18,-0.11,-0.05,-0.01,-0.05,-0.24,-0.29,-0.23, , , , , , , , , , , , , , , , , , , ,-25.0704, ,-34.6569,-40.5904,-29.7117,-35.8493,-24.3319,-16.1529,-12.8788,-9.2033,-11.032,-17.7477,-28.5586, , , , , , , ,41.1364,38.1547,38.6466,27.7241,30.2019,-17.0134,-22.411,-29.2051,-44.8104,-7686000,-7339000,-3057000,-20887000,45,453010,4530,50.9812,64.5649,45.8166,54.2657,115455072,28664470,137332320,129545088
ADRO US Equity,ADURO BIOTECH INC,-39.97,-0.5,0.01,0.05,-0.45,0.04,-0.54,-0.44,-0.32,-0.27,-0.33,-0.34,-0.28,-0.31,-0.29,-0.33, , , , , , , , , , , , , , , , , , , ,-13.2388,-25.0522,-9.7457,-24.1529,-37.8973,-36.5394,-42.5864,-38.2201,-39.9166,-44.2478,-45.8076,-47.5022,-51.6217, , , , , ,-9.3969,-23.7174,40.8116,44.5644,50.055,57.754,62.0885,-42.9813,-44.4716,-45.9628,-51.1599,152636000,-109963000,-94010000,-71124000,35,352010,3520,45.7019,48.1956,46.6506,62.1512,1789361664,774268032,583021504,210069328
ADSW US Equity,ADVANCED DISPOSAL SERVICES I, , , , , , ,0.06,-0.24,-0.08,0,0.04,0.47,0.02,0.11,-0.06,0.03, , , , , , , , , ,90.4029,101.6177,229.0471,164.3783,166.5144,1098.6693,592.0906,3.5523,3.6675,3.9836,2.1562,2.0301,1.8325,1.9515,2.5197,2.6329,3.0923,2.7038,3.2891,3.6411,4.0037,3.9305,2.4892,-1.6518,-0.3342,-0.1394,-6.5966,-7.5931,-5.8653,-3.9759,39.4343,23.6043,15.1043,16.0412,17.6185,5.503,6.5855,5.5902,1.0467,64800000,66000000,119900000,119700000,20,202010,2020,85.688,75.385,74.6772,74.166, ,1956133504,2118479232,2123140864
WMS US Equity,ADVANCED DRAINAGE SYSTEMS IN,-0.21,0.41,-0.07,-0.2,0.19,0.2,0.13,-0.1967,0.29,0.38,0.14,-0.34,0.29,0.29,0.52,-0.11, , , ,642.1517,59.828,85.3496,57.2141,54.6152,72.164,52.594,43.2726,48.2324,35.8453,34.8646,30.2755,25.6313, , ,1.7035,2.8314,3.6757,4.1938,6.9036,5.8078,5.9911,5.9119,6.4909,5.1593,5.1432,4.3388,7.4206,8.6081, , , , , , , ,36.0963,23.3881,23.2251,18.1511,19.5272,83.9157,38.5118,54.0433,76.8178,42299000,90400000,52943000,95411000,20,201020,2010,70.222,68.2571,66.5067,58.4172,1602448640,1159508096,1211902208,1462728448
ADVM US Equity,ADVERUM BIOTECHNOLOGIES INC,-0.38,-0.38,-0.55,-0.55,-0.57,-1.76,-0.35,-0.54,-0.38,-0.27,-0.32,-0.32,-0.3,-0.3,-0.34,-0.25, , , , , , , , , , , , , , , , ,-23.4216,-24.1236,-21.0221,-23.7237,-20.573,-40.7428,-42.4646,-48.8015,-52.0115,-29.6696,-31.2183,-28.9779,-26.4959,-31.5239,-37.6921,-39.4336, ,-24.5625,-20.9298,-23.6041,-20.4648,-40.6074,-42.3006,28.6344,26.738,25.9498,24.3772,22.5731,-25.59,-30.3684,-36.1911,-37.7092,-38330000,-40778000,-46437000,-54773000,35,352010,3520,4.4367,8.0922,8.8542,5.7744,246175040,121234528,171553680,198341232
AGLE US Equity,AEGLEA BIOTHERAPEUTICS INC,-0.4486,-0.2447,-0.5259,-0.4599,-7.1,-0.46,-0.47,-0.4084,-0.47,-0.47,-0.48,-0.39,-0.49,-0.46,-0.54,-0.6199, , , , , , , , , , , , , , , , , , , ,-59.5534, ,-29.8582,-37.6536,-44.0763,-53.0462,-36.3175,-42.7908,-48.5812,-58.2355,-47.5792,-61.3914,-76.812, , , , , , , ,28.4366, ,29.8556,29.2146,27.3861,-57.5809,-46.8795,-60.2958,-75.3161,-11190000,-19052000,-25234000,-32615000,35,352010,3520,6.597,6.1092,10.2359,13.2636, ,58424124,90185720,180809328
HIVE US Equity,AEROHIVE NETWORKS INC,-0.34,-0.23,-0.22,-0.15,-0.25,-0.15,-0.19,-0.14,-0.17,-0.07,-0.09,-0.08,-0.13,-0.05,-0.04,-0.1, , , , , , , , , , , , , , , , ,-88.9777,-55.7945,-65.3605,-62.8784,-68.8977,-66.0288,-71.3631,-67.5002,-70.2645,-60.8332,-55.9329,-46.5163,-48.4606,-44.8103,-41.3564,-42.901, ,-78.4072,-94.0705,-89.2518,-104.4622,-101.9734,-116.5473,28.3933,32.2661,40.3815,27.4087,-80.6469,-93.8222,-83.3909,-79.4774,-86.2471,-7227000,-16715000,8724000,10431000,45,452010,4520,72.2787,78.9805,81.445,87.5577,250478368,297797952,315819840,182128432
AFMD US Equity,AFFIMED NV,-0.06,-0.19,-0.24,-0.19,-0.25,-0.24,-0.31,-0.16,-0.19,-0.18,-0.18,-0.14,-0.15,-0.13,-0.19,0.134, , , , , , , , , , , , , , , , , , ,-40.5321,-38.9745,-53.8276,-49.4135,-62.7808,-55.6754,-54.817,-59.1896,-64.3665,-68.9107,-50.925,-60.8089,-85.2493,-46.2494, , ,-42.0965,-40.8584,-60.2066,-53.2627,-68.2473,28.3368,28.7487,29.3584,29.5922,29.4105,-60.2254,-70.4072,-99.5133,-54.3231,-18784000,-32365000,-26174000,48747000,35,352010,3520,15.1887,20.4928,26.8293,65.4578,217933872,56767732,50597876,169540384
AGRX US Equity,AGILE THERAPEUTICS INC,-0.4,-0.38,-0.42,-0.17,-0.27,-0.29,-0.27,-0.18,-0.26,-0.26,-0.22,-0.18,-0.2,-0.16,-0.11,-0.11, , , , , , , , , , , , , , , , ,-61.4748,-47.63,-59.7062,-58.7769,-39.6651,-44.1341,-46.9743,-52.8771,-43.3114,-47.5514,-45.1447,-51.5661,-58.5419,-63.8821,-51.5843,-57.2527, ,-67.5137,-88.6056,-92.276,-53.0637,-61.3406,-69.1046,27.8472,23.1738,22.734,24.5782,24.5312,-83.4244,-92.1363,-68.6045,-70.0179,-25768000,-23332000,-25873000,-17213000,35,352020,3520,41.3492,33.7848,28.2083,9.9053,217800368,163930464,77363680,19687914
EURI US Equity,AGRIEURO CORP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26.3515,36.2955,40.4448,41.7232,38.1756, , , , , , , , , , , , , , , , , , , 
ACMB US Equity,AGRO CAPITAL MANAGEMENT CORP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25.3452,24.4706,33.6826,31.5648,55.0459, , , , , , , , , , , , , , , , , , , 
AIMT US Equity,AIMMUNE THERAPEUTICS INC,-0.81,-1.6,-0.36,-0.39,-0.37,-0.43,-0.53,-0.55,-0.52,-0.65,-0.63,-0.8186,-0.92,-0.91,-0.89,-0.95, , , , , , , , , , , , , , , , , , , , ,-37.3627,-49.8858,-38.0415,-33.0261,-40.0858,-51.2432,-62.7021,-57.1948,-52.6952,-67.5534,-86.4303,-89.9526, , , , , , ,-37.8273,25.1233,20.5988,15.3391,0.1888,0.6021,-52.1901,-66.7176,-85.1638,-88.4116,-37398000,-64279000,-106030000,-178548000,35,352010,3520,2.8772,4.2896,14.0765,11.9592,779307712,1026671808,1932261632,1486436608
AIRG US Equity,AIRGAIN INC,-1.1, , , ,-0.7,9.7,0.21,0.14,0.04,-0.01,0.02,0.06,-0.12,-0.34,0.05,0.13, , , , , , , ,13.3333,8.3297,38.8338,39.6382,52.061,610.3138, , , , , , , , , , ,12.7541,13.6484,9.2254,4.7044,2.0102,-1.2835,-8.9331,-8.6643,-7.1676, , , , , , , ,22.6083,15.3389,9.4535,4.6411,1.542,-0.7717,-7.7908,-7.2781,-5.6567,1715971,4393628,-517719,386648,45,452030,4520,75.793,19.6761,17.8922,14.6668, ,133560896,85243112,95147240
AKBA US Equity,AKEBIA THERAPEUTICS INC,-0.53,-0.4,-0.68,-0.66,-0.7,-0.95,-0.96,-0.99,-1.15,-0.53,-0.49,0.26,-0.48,-0.6,-0.46,-0.8654, , , , , , , , , , , , , , , , ,-34.7107,-30.7172,-39.9772,-52.0972,-58.2134,-71.7873,-96.0602,-136.8135,-156.3402,-148.1433,-128.1583,-84.4866,-51.499,-64.6351,-62.4526, ,-34.1891,-30.2996,-39.5551,-51.6565,-57.7953,-71.3037,-95.6777,20.7249,22.7286,20.3712,21.9107,14.6903,-48.9992,-61.3129,-58.7857, ,-52821000,55244000,-57781000, ,35,352010,3520,8.3546,77.3096,67.2389, ,396155872,401989536,707999616,564700352
AKTS US Equity,AKOUSTIS TECHNOLOGIES INC, , , , ,-0.11,-0.09,-0.08,-0.0542,-0.13,-0.21,-0.12,-0.1232,-0.24,-0.27,-0.22,-0.3056, , , , , , , , , , , , , , , , , , , , , , , , ,-180.0987,-176.0543,-130.1396,-119.2603,-211.9889,-128.3472,-143.3868,-109.9553, , , , , , , ,20.192,21.583,25.5303,25.426,10.9539,-200.4991,-118.7308,-130.2566,-150.6485, ,-2932551,-7173677,-21142130,45,452030,4520, ,22.0575,17.0316,52.7436, ,28728578,166715936,161418992
ALRM US Equity,ALARM.COM HOLDINGS INC, ,-6.09,0.06,0.07,0.06,0.04,0.06,0.06,0.09,0.21,0.32,0.01,0.22,0.23,-0.16,0.16, , , , , ,51.5445,52.5457,42.7763,42.5633,46.6031,46.5066,39.8891,36.9345,36.5462,53.5257,47.3704, , , ,9.848,8.5667,8.4196,5.7576,5.6889,4.9018,8.2981,13.0565,12.6967,12.3043,12.0374,4.5407,7.273, , , , , , ,5.9668,19.9214,19.313,14.8148,13.1491,12.9422,15.9536,15.3559,5.6249,8.4323,17672000,13545000,46723000,60710000,45,451030,4510,24.7524,26.7932,37.3516,37.0525,758694720,1284145280,1781887232,2495054848
ABDC US Equity,ALCENTRA CAPITAL CORP,0.37,0.47,0.24,-0.15,0.32,0.1,-0.14,0.36,0.08,-0.38,-0.11,-0.94,0.25,-0.16,0.23,0.08,8.8018,9.1278,8.0992,8.1744,7.9357,7.7903,8.4826,7.2624,8.7224,9.0837,7.2137,6.3594,5.597,5.5908,5.8505,6.4446,10.865,8.8822,6.7566,4.5083,4.3839,2.413,0.6087,3.0739,1.9709,-0.3721,-0.2776,-6.6774,-6.1439,-5.2229,-3.3679,2.1514,13.2868,11.1025,8.7541,6.3692,6.0283,3.5083,0.9411,19.8926,20.7317,20.8986,20.1446,22.2733,-9.8305,-8.269,-5.5363,3.6388,-25396332,28492456,-31474450,78335664,40,402030,4020,36.574,35.973,49.1779,42.5473,156794480,161016048,119330512,84791256
ALDR US Equity,ALDER BIOPHARMACEUTICALS INC,-0.4,-0.46,-0.62,-0.6,-0.76,-0.79,-0.7,-0.97,-1.99,-1.48,-0.92,-0.8,-1.73,-1.04,-0.91,-1.19, , , , , , , , , , , , , , , , ,-0.4887,-4.643,-27.9741,-38.5195,-35.3354,-28.1955,-32.1113,-40.8716,-69.5643,-76.8169,-75.5726,-87.7752,-64.1246,-72.5112,-67.1458,-85.5639, ,-4.488,-27.8013,-38.2695,-35.0882,-28.0286,-31.8529,19.7076,21.4433,22.3121,23.3514,23.1092,-93.7566,-118.0594,-107.0777,-153.3773,-82456000,-166306000,-228667008,-253986000,35,352010,3520,3.1273,6.4453,7.8714,49.8565,1443635200,1047658688,776801664,701208384
ALDX US Equity,ALDEYRA THERAPEUTICS INC,-0.32,-0.27,-0.35,-0.4464,-0.51,-0.41,-0.38,-0.3694,-0.37,-0.35,-0.32,-0.3627,-0.43,-0.46,-0.52,-0.3991, , , , , , , , , , , , , , , , ,-104.186,-39.8004,-51.1764,-71.3531,-80.5882,-53.3136,-64.5632,-76.1083,-73.6198,-71.543,-54.1042,-70.2204,-77.4522,-94.0854,-92.1127,-61.9807, ,-42.6835,-55.0834,-77.5954,-86.8674,-55.6711,-67.6924,19.3069,22.2112,25.9069,29.7491,30.5094,-80.1502,-97.4404,-94.5358,-61.6282,-9397872,-15159322,-19247620,-30120096,35,352010,3520,11.7939,14.046,10.3541,8.9106,65850892,67283336,130135944,217828816
BABA US Equity,ALIBABA GROUP HOLDING-SP ADR,5.62,1.33,2.42,1.18,12.45,9.25,5.11,2.19,3.05,3.08,7.19,4.24,5.77,6.92,9.41,2.95, ,56.7563,70.2032,66.2781,71.3446,36.0333,43.1655,39.4175,37.7287,55.6708,41.3654,46.9017,51.6461,53.5633,44.6362,44.8196, , ,13.0032,10.8518,8.1408,7.5682,7.995,8.5467,8.212,7.4356,8.4367,8.6184,9.761,10.6703,7.146,6.8561, , ,33.5029,27.6341,37.1409,39.5503,39.187,19.191,10.0555,8.7778,9.9076,9.7252,19.3973,21.405,21.8598,19.852,33511999488,45990998016,62779998208,95334998016,25,255020,2550,38.1167,31.4339,36.0471,38.722,1.28821E+12,1.2616E+12,1.87581E+12,2.97558E+12
