Ticker,Name,EPS:2015:Q1,EPS:2015:Q2,EPS:2015:Q3,EPS:2015:Q4,EPS:2016:Q1,EPS:2016:Q2,EPS:2016:Q3,EPS:2016:Q4,EPS:2017:Q1,EPS:2017:Q2,EPS:2017:Q3,EPS:2017:Q4,EPS:2018:Q1,EPS:2018:Q2,EPS:2018:Q3,EPS:2018:Q4,P/E:2015:Q1,P/E:2015:Q2,P/E:2015:Q3,P/E:2015:Q4,P/E:2016:Q1,P/E:2016:Q2,P/E:2016:Q3,P/E:2016:Q4,P/E:2017:Q1,P/E:2017:Q2,P/E:2017:Q3,P/E:2017:Q4,P/E:2018:Q1,P/E:2018:Q2,P/E:2018:Q3,P/E:2018:Q4,ROIC:2015:Q1,ROIC:2015:Q2,ROIC:2015:Q3,ROIC:2015:Q4,ROIC:2016:Q1,ROIC:2016:Q2,ROIC:2016:Q3,ROIC:2016:Q4,ROIC:2017:Q1,ROIC:2017:Q2,ROIC:2017:Q3,ROIC:2017:Q4,ROIC:2018:Q1,ROIC:2018:Q2,ROIC:2018:Q3,ROIC:2018:Q4,ROE:2015:Q1,ROE:2015:Q2,ROE:2015:Q3,ROE:2015:Q4,ROE:2016:Q1,ROE:2016:Q2,ROE:2016:Q3,ROE:2016:Q4,ROE:2017:Q1,ROE:2017:Q2,ROE:2017:Q3,ROE:2017:Q4,ROE:2018:Q1,ROE:2018:Q2,ROE:2018:Q3,ROE:2018:Q4
ADAD US Equity,ADAIAH DISTRIBUTION INC,0,0, , ,0,0, , ,-0.0023,-0.0007, , ,0.0034,0.0006, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43.8733,32.4008,19.9172,26.5545,36.8493, , , , 
ADMS US Equity,ADAMAS PHARMACEUTICALS INC,-0.69,-0.78,-0.81,-0.58,-0.65,-0.78,-0.66,-0.68,-0.72,-0.93,-1.04,-1.27,-1.35,-1.26,-1.22,-1.055, , , , , , , , , , , , , , , , ,4.2947,-18.9656,-24.5114,-39.5169,-35.2645,-38.9935,-41.9594,-48.7862,-43.7963,-45.2364,-56.1468,-74.3933,-51.9811,-57.9665,-68.5305,-107.5648,3.3311,-19.8625,-25.4237,-39.3541,-35.0747,-38.7575,-41.6243,43.6972, ,39.3458,38.117,21.3167,-74.9499,-98.7414,-131.2931, 
ADMV US Equity,ADAMAS VENTURES INC,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43.4105,39.6294,27.8466,-5.2267,-8.3313, , , , 
ADAP US Equity,ADAPTIMMUNE THERAPEUTICS-ADR, , , , ,-0.04,-0.05,-0.04,-0.04,-0.05,-0.04,0,-0.05,-0.04,-0.08,0.01,-0.06, , , , , , , , , , , , , , , , , , , , , , , , ,-36.8585,-36.9081,-31.1692,-41.8671,-41.1849,-46.5013,-32.1592,-38.0353, , , , , , , ,41.2927,38.8396,39.5792,36.081,39.0103,-34.7528,-47.1691,-34.4237,-42.6142
IOTS US Equity,ADESTO TECHNOLOGIES CORP, , ,-1.9,-0.32,-0.1,-0.29,-0.27,-0.11,-0.18,-0.11,-0.05,-0.01,-0.05,-0.24,-0.29,-0.23, , , , , , , , , , , , , , , , , , , ,-25.0704, ,-34.6569,-40.5904,-29.7117,-35.8493,-24.3319,-16.1529,-12.8788,-9.2033,-11.032,-17.7477,-28.5586, , , , , , , ,41.1364,38.1547,38.6466,27.7241,30.2019,-17.0134,-22.411,-29.2051,-44.8104
ADRO US Equity,ADURO BIOTECH INC,-39.97,-0.5,0.01,0.05,-0.45,0.04,-0.54,-0.44,-0.32,-0.27,-0.33,-0.34,-0.28,-0.31,-0.29,-0.33, , , , , , , , , , , , , , , , , , , ,-13.2388,-25.0522,-9.7457,-24.1529,-37.8973,-36.5394,-42.5864,-38.2201,-39.9166,-44.2478,-45.8076,-47.5022,-51.6217, , , , , ,-9.3969,-23.7174,40.8116,44.5644,50.055,57.754,62.0885,-42.9813,-44.4716,-45.9628,-51.1599
ADSW US Equity,ADVANCED DISPOSAL SERVICES I, , , , , , ,0.06,-0.24,-0.08,0,0.04,0.47,0.02,0.11,-0.06,0.03, , , , , , , , , ,90.4029,101.6177,229.0471,164.3783,166.5144,1098.6693,592.0906,3.5523,3.6675,3.9836,2.1562,2.0301,1.8325,1.9515,2.5197,2.6329,3.0923,2.7038,3.2891,3.6411,4.0037,3.9305,2.4892,-1.6518,-0.3342,-0.1394,-6.5966,-7.5931,-5.8653,-3.9759,39.4343,23.6043,15.1043,16.0412,17.6185,5.503,6.5855,5.5902,1.0467
WMS US Equity,ADVANCED DRAINAGE SYSTEMS IN,-0.21,0.41,-0.07,-0.2,0.19,0.2,0.13,-0.1967,0.29,0.38,0.14,-0.34,0.29,0.29,0.52,-0.11, , , ,642.1517,59.828,85.3496,57.2141,54.6152,72.164,52.594,43.2726,48.2324,35.8453,34.8646,30.2755,25.6313, , ,1.7035,2.8314,3.6757,4.1938,6.9036,5.8078,5.9911,5.9119,6.4909,5.1593,5.1432,4.3388,7.4206,8.6081, , , , , , , ,36.0963,23.3881,23.2251,18.1511,19.5272,83.9157,38.5118,54.0433,76.8178
ADVM US Equity,ADVERUM BIOTECHNOLOGIES INC,-0.38,-0.38,-0.55,-0.55,-0.57,-1.76,-0.35,-0.54,-0.38,-0.27,-0.32,-0.32,-0.3,-0.3,-0.34,-0.25, , , , , , , , , , , , , , , , ,-23.4216,-24.1236,-21.0221,-23.7237,-20.573,-40.7428,-42.4646,-48.8015,-52.0115,-29.6696,-31.2183,-28.9779,-26.4959,-31.5239,-37.6921,-39.4336, ,-24.5625,-20.9298,-23.6041,-20.4648,-40.6074,-42.3006,28.6344,26.738,25.9498,24.3772,22.5731,-25.59,-30.3684,-36.1911,-37.7092
AGLE US Equity,AEGLEA BIOTHERAPEUTICS INC,-0.4486,-0.2447,-0.5259,-0.4599,-7.1,-0.46,-0.47,-0.4084,-0.47,-0.47,-0.48,-0.39,-0.49,-0.46,-0.54,-0.6199, , , , , , , , , , , , , , , , , , , ,-59.5534, ,-29.8582,-37.6536,-44.0763,-53.0462,-36.3175,-42.7908,-48.5812,-58.2355,-47.5792,-61.3914,-76.812, , , , , , , ,28.4366, ,29.8556,29.2146,27.3861,-57.5809,-46.8795,-60.2958,-75.3161
HIVE US Equity,AEROHIVE NETWORKS INC,-0.34,-0.23,-0.22,-0.15,-0.25,-0.15,-0.19,-0.14,-0.17,-0.07,-0.09,-0.08,-0.13,-0.05,-0.04,-0.1, , , , , , , , , , , , , , , , ,-88.9777,-55.7945,-65.3605,-62.8784,-68.8977,-66.0288,-71.3631,-67.5002,-70.2645,-60.8332,-55.9329,-46.5163,-48.4606,-44.8103,-41.3564,-42.901, ,-78.4072,-94.0705,-89.2518,-104.4622,-101.9734,-116.5473,28.3933,32.2661,40.3815,27.4087,-80.6469,-93.8222,-83.3909,-79.4774,-86.2471
AFMD US Equity,AFFIMED NV,-0.06,-0.19,-0.24,-0.19,-0.25,-0.24,-0.31,-0.16,-0.19,-0.18,-0.18,-0.14,-0.15,-0.13,-0.19,0.134, , , , , , , , , , , , , , , , , , ,-40.5321,-38.9745,-53.8276,-49.4135,-62.7808,-55.6754,-54.817,-59.1896,-64.3665,-68.9107,-50.925,-60.8089,-85.2493,-46.2494, , ,-42.0965,-40.8584,-60.2066,-53.2627,-68.2473,28.3368,28.7487,29.3584,29.5922,29.4105,-60.2254,-70.4072,-99.5133,-54.3231
AGRX US Equity,AGILE THERAPEUTICS INC,-0.4,-0.38,-0.42,-0.17,-0.27,-0.29,-0.27,-0.18,-0.26,-0.26,-0.22,-0.18,-0.2,-0.16,-0.11,-0.11, , , , , , , , , , , , , , , , ,-61.4748,-47.63,-59.7062,-58.7769,-39.6651,-44.1341,-46.9743,-52.8771,-43.3114,-47.5514,-45.1447,-51.5661,-58.5419,-63.8821,-51.5843,-57.2527, ,-67.5137,-88.6056,-92.276,-53.0637,-61.3406,-69.1046,27.8472,23.1738,22.734,24.5782,24.5312,-83.4244,-92.1363,-68.6045,-70.0179
EURI US Equity,AGRIEURO CORP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26.3515,36.2955,40.4448,41.7232,38.1756, , , , 
ACMB US Equity,AGRO CAPITAL MANAGEMENT CORP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25.3452,24.4706,33.6826,31.5648,55.0459, , , , 
AIMT US Equity,AIMMUNE THERAPEUTICS INC,-0.81,-1.6,-0.36,-0.39,-0.37,-0.43,-0.53,-0.55,-0.52,-0.65,-0.63,-0.8186,-0.92,-0.91,-0.89,-0.95, , , , , , , , , , , , , , , , , , , , ,-37.3627,-49.8858,-38.0415,-33.0261,-40.0858,-51.2432,-62.7021,-57.1948,-52.6952,-67.5534,-86.4303,-89.9526, , , , , , ,-37.8273,25.1233,20.5988,15.3391,0.1888,0.6021,-52.1901,-66.7176,-85.1638,-88.4116
AIRG US Equity,AIRGAIN INC,-1.1, , , ,-0.7,9.7,0.21,0.14,0.04,-0.01,0.02,0.06,-0.12,-0.34,0.05,0.13, , , , , , , ,13.3333,8.3297,38.8338,39.6382,52.061,610.3138, , , , , , , , , , ,12.7541,13.6484,9.2254,4.7044,2.0102,-1.2835,-8.9331,-8.6643,-7.1676, , , , , , , ,22.6083,15.3389,9.4535,4.6411,1.542,-0.7717,-7.7908,-7.2781,-5.6567
AKBA US Equity,AKEBIA THERAPEUTICS INC,-0.53,-0.4,-0.68,-0.66,-0.7,-0.95,-0.96,-0.99,-1.15,-0.53,-0.49,0.26,-0.48,-0.6,-0.46,-0.8654, , , , , , , , , , , , , , , , ,-34.7107,-30.7172,-39.9772,-52.0972,-58.2134,-71.7873,-96.0602,-136.8135,-156.3402,-148.1433,-128.1583,-84.4866,-51.499,-64.6351,-62.4526, ,-34.1891,-30.2996,-39.5551,-51.6565,-57.7953,-71.3037,-95.6777,20.7249,22.7286,20.3712,21.9107,14.6903,-48.9992,-61.3129,-58.7857, 
AKTS US Equity,AKOUSTIS TECHNOLOGIES INC, , , , ,-0.11,-0.09,-0.08,-0.0542,-0.13,-0.21,-0.12,-0.1232,-0.24,-0.27,-0.22,-0.3056, , , , , , , , , , , , , , , , , , , , , , , , ,-180.0987,-176.0543,-130.1396,-119.2603,-211.9889,-128.3472,-143.3868,-109.9553, , , , , , , ,20.192,21.583,25.5303,25.426,10.9539,-200.4991,-118.7308,-130.2566,-150.6485
ALRM US Equity,ALARM.COM HOLDINGS INC, ,-6.09,0.06,0.07,0.06,0.04,0.06,0.06,0.09,0.21,0.32,0.01,0.22,0.23,-0.16,0.16, , , , , ,51.5445,52.5457,42.7763,42.5633,46.6031,46.5066,39.8891,36.9345,36.5462,53.5257,47.3704, , , ,9.848,8.5667,8.4196,5.7576,5.6889,4.9018,8.2981,13.0565,12.6967,12.3043,12.0374,4.5407,7.273, , , , , , ,5.9668,19.9214,19.313,14.8148,13.1491,12.9422,15.9536,15.3559,5.6249,8.4323
ABDC US Equity,ALCENTRA CAPITAL CORP,0.37,0.47,0.24,-0.15,0.32,0.1,-0.14,0.36,0.08,-0.38,-0.11,-0.94,0.25,-0.16,0.23,0.08,8.8018,9.1278,8.0992,8.1744,7.9357,7.7903,8.4826,7.2624,8.7224,9.0837,7.2137,6.3594,5.597,5.5908,5.8505,6.4446,10.865,8.8822,6.7566,4.5083,4.3839,2.413,0.6087,3.0739,1.9709,-0.3721,-0.2776,-6.6774,-6.1439,-5.2229,-3.3679,2.1514,13.2868,11.1025,8.7541,6.3692,6.0283,3.5083,0.9411,19.8926,20.7317,20.8986,20.1446,22.2733,-9.8305,-8.269,-5.5363,3.6388
ALDR US Equity,ALDER BIOPHARMACEUTICALS INC,-0.4,-0.46,-0.62,-0.6,-0.76,-0.79,-0.7,-0.97,-1.99,-1.48,-0.92,-0.8,-1.73,-1.04,-0.91,-1.19, , , , , , , , , , , , , , , , ,-0.4887,-4.643,-27.9741,-38.5195,-35.3354,-28.1955,-32.1113,-40.8716,-69.5643,-76.8169,-75.5726,-87.7752,-64.1246,-72.5112,-67.1458,-85.5639, ,-4.488,-27.8013,-38.2695,-35.0882,-28.0286,-31.8529,19.7076,21.4433,22.3121,23.3514,23.1092,-93.7566,-118.0594,-107.0777,-153.3773
ALDX US Equity,ALDEYRA THERAPEUTICS INC,-0.32,-0.27,-0.35,-0.4464,-0.51,-0.41,-0.38,-0.3694,-0.37,-0.35,-0.32,-0.3627,-0.43,-0.46,-0.52,-0.3991, , , , , , , , , , , , , , , , ,-104.186,-39.8004,-51.1764,-71.3531,-80.5882,-53.3136,-64.5632,-76.1083,-73.6198,-71.543,-54.1042,-70.2204,-77.4522,-94.0854,-92.1127,-61.9807, ,-42.6835,-55.0834,-77.5954,-86.8674,-55.6711,-67.6924,19.3069,22.2112,25.9069,29.7491,30.5094,-80.1502,-97.4404,-94.5358,-61.6282
BABA US Equity,ALIBABA GROUP HOLDING-SP ADR,5.62,1.33,2.42,1.18,12.45,9.25,5.11,2.19,3.05,3.08,7.19,4.24,5.77,6.92,9.41,2.95, ,56.7563,70.2032,66.2781,71.3446,36.0333,43.1655,39.4175,37.7287,55.6708,41.3654,46.9017,51.6461,53.5633,44.6362,44.8196, , ,13.0032,10.8518,8.1408,7.5682,7.995,8.5467,8.212,7.4356,8.4367,8.6184,9.761,10.6703,7.146,6.8561, , ,33.5029,27.6341,37.1409,39.5503,39.187,19.191,10.0555,8.7778,9.9076,9.7252,19.3973,21.405,21.8598,19.852
ABTX US Equity,ALLEGIANCE BANCSHARES INC, , ,0.41,0.34,0.49,0.41,0.42,0.45,0.46,0.41,0.23,0.24,0.58,0.57,0.66,0.6, , , , , ,16.3982,17.564,21.9458,21.7544,22.3977,24.3709,25.0557,24.1272,24.4549,18.9317,13.7161, , , , , , ,6.0362,6.2274,5.9224,5.1528,5.818,4.9709,5.253,4.831,5.2905,5.0282, , , , , , ,8.9249,17.5447,17.1825,15.1916,17.036,16.1542,6.42,6.9401,8.6707,7.389
ACV US Equity,ALLIANZGI DIVERSIFIED INCOME, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17.2653,23.3641,22.4903,18.0906,18.8961, , , , 
ALPC US Equity,ALPHA INVESTMENT INC,0,-0.0001,0,-0.0001,0,0,0,-0.0001,0,0,0.0002,-0.0141,-0.0243,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1.2173,-25.109,-39.199,-40.425,-20.4431, , , , , , , , ,16.8025,16.58,17.6032,17.7286,16.5003,-103.8363, ,-52.801, 
ALPN US Equity,ALPINE IMMUNE SCIENCES INC,-7.8,-5.64,-1.56,-1.68,-2.04,-2.2,-2.44,-7.4148,-2.28,-21.6,0.2,-0.6662,-0.38,-0.57,-0.88,-0.804, , , , , , , , , , , , , , , , , , , ,-41.7265,-53.8134,-35.5995,-30.9485,-38.1309,-30.2142,-24.4683,-24.2539,-45.9118,-28.3092,-38.4367,-41.1959,-56.1233, , , , , ,-35.3677,-30.7022,16.7985,15.729,15.5097,14.9808,13.6124,-18.034,-27.3663,-43.0137,-59.0844
ATAO US Equity,ALTAIR INTERNATIONAL CORP,0,0,0, ,-0.004,0,0, ,-0.001,-0.001,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16.4617,17.1141,16.0883,13.9502,11.3643, , , , 
AMBR US Equity,AMBER ROAD INC,-0.27,-0.32,-0.24,-0.25,-0.22,-0.18,-0.14,-0.17,-0.16,-0.16,-0.08,-0.07,-0.11,-0.12,-0.06,-0.09, , , , , , , , , , , , , , , , ,-18.6118,-29.0104,-36.6909,-40.4568,-47.1055,-38.7538,-36.4175,-29.5189,-39.4146,-30.8237,-28.4382,-23.7059,-28.2515,-19.2347,-17.8046,-19.2917,-19.9242,-31.426,-39.7807,-51.3063,-53.3915,-51.237,-48.6242,16.1255,18.9689,22.5222,23.0746,24.6432,-40.177,-38.1329,-35.3701,-38.3836
AMCT US Equity,AMERICAN EDUCATION CENTER IN, , , , , , , , ,0.03,-0.0021,-0.0001,-0.0216,-0.04,-0.04,-0.06, , , , , , , , , , , , ,105.093, , , , , , , , , , , , , , , , ,-37.5213,-57.8754,-94.5959, , , , , , , , ,15.9183,15.9425,16.6516,11.7054,11.1065,-49.9229,-90.8306,-188.5679, 
AREB US Equity,AMERICAN REBEL HOLDINGS INC, ,0, , ,0,0.01,-0.02,-0.0907,-0.02,-0.11,-0.02,-0.029,-0.03,-0.02,-0.01, , , , , , , , , , , , , , , , , , , , , , , , , ,-277.4051, ,-1502.8665, ,-540.3271,-1460.281,-1040.6785, , , , , , , , ,15.8505,14.0199,12.9397,12.1413,20.2339, , , , 
ARA US Equity,AMERICAN RENAL ASSOCIATES HO,0.1302,0.2273,0.1858,0.31,0.17,-0.3325,0.35,-0.02,-0.3991,-0.15,0.26,0.05,-0.0103,-0.59,0.06, , , , , , ,29.1019,19.3551,30.1012,75.1994,228.4061,129.8206,38.3767,21.2635,15.9944,25.844, , , , ,15.944, , , ,14.1808,11.9667,11.6664,11.4146,11.2855,12.1075,10.1497,10.1867, , , , , , , , ,15.7256,20.3199,24.8635,30.3673,36.2409, , , , 
AREC US Equity,AMERICAN RESOURCES CORP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15.4552,15.9104,13.7097,12.3307,11.6169, , , , 
AMPH US Equity,AMPHASTAR PHARMACEUTICALS IN,-0.01,-0.15,-0.07,0.17,0.06,0.15,0.09,-0.06,0.02,0.04,0,0.0148,-0.16,-0.06,0.05,0.04, , , , , ,52.594,41.517,74.9298,83.0251,325.6331, ,535.3516, , , , ,-3.4173,-5.2386,-4.1728,-0.0676,1.1371,5.1631,7.119,3.364,2.7124,0.923,-0.2585, ,-1.9424,-2.8126,-2.1836, ,-3.6717,-5.3095,-4.5302,-0.9654,0.1275,4.6932,6.797,15.0008,10.644,16.6623,18.987,15.3455,-1.3765,-2.8307,-2.1425, 
ANC/H CN Equity,ANCHOR CAPITAL CORP, , , , , , , , ,0,0,-0.01,-0.0088,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-87.039,-88.0332,-95.233, , , , , , , , ,14.9445,14.0474,11.1646,12.314,16.1448,-87.039,-88.0332,-95.233, 
ANPFF US Equity,ANPULO FOOD INC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14.4394,14.2414,14.141,16.0574,19.0891, , , , 
ANTL CN Equity,ANTLER GOLD INC, , , , , , ,-0.002, ,-0.0047,-0.0033,-0.005,-0.005,-0.006,-0.003,-0.002, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-17.1989,-15.3925,-12.3058, , , , , , , , ,14.3135,12.0075,8.051,8.5156,11.3021,-17.1989,-15.3925,-12.3058, 
